from,to,relationship
JL,SetUp,1
JL,TaTePa,1
JL,EuAl,1
JL,CoAl,1
JL,USCM,1
MT,RCC,1
MT,VLC,1
MT,VoZu,1
MT,LCVB,1
MT,SAP,1
MT,VCM,1
ET,TaTePa,1
ET,AlAp,1
ET,EuTw,1
ET,LBA,1
HK,VfBU,1
HK,OlySt,1
HK,BuSt,1
IVV,AsKi,1
IVV,RCC,1
IVV,IBF,1
IVV,CaLe,1
IVV,RRV,1
IVV,CSMT,1
JN,GBL,1
JN,BKS,1
JN,KSP,1
JN,SMS,1
SL,KAF,1
SL,Bey,1
SL,IVC,1
SL,PSU,1
MSP,BVMB,1
MSP,DSC,1
MSP,BSBC,1
MSP,STM,1
MSP,DIT,1
MSP,GHO,1
MSP,CVB,1
HJ,VfBS,1
HJ,VCS,1
HD,MTVSt,1
HD,BuSt,1
KR,UniA,1
KR,BeAn,1
KR,LuBa,1
LB,FVT,1
LB,BuSt,1
LB,VCOB,1
RK,OKN,1
RK,LPV,1
RK,LPK,1
RK,HaLe,1
RK,Ki,1
RK,SoPa,1
LG,MTVj,1
LG,BuSt,1
JL,NED,2
MT,BUL,2
ET,NED,2
HK,GER,2
IVV,BEL,2
JN,POL,2
SL,USA,2
MSP,ESP,2
HJ,NED,2
HD,GER,2
KR,USA,2
LB,GER,2
RK,FIN,2
LG,GER,2